Department Name;Strategic Goal;Measure Title;Measure Description;Measure Methodology;Measure Data Type;Fiscal Year;End Calendar Year;Target;Mid-Year Result;Mid-Year Projection;Full-Year Result;Data Notes
ACADEMY OF SCIENCES;Educate and inspire the world;Number of volunteer hours;Total number of volunteer hours on an annual basis;Collection Method: Collected on daily sign in/out sheets.  Information is entered in to an access database monthly and housed on our network in the Volunteer Services department. Timing:  Sign in/out sheets are available daily.  Access database is updated and available monthly.  Currently we are producing a report annualy.;Numeric;FY2021-22;2022;14000;;;;
ACADEMY OF SCIENCES;Educate and inspire the world;Number of volunteer hours;Total number of volunteer hours on an annual basis;Collection Method: Collected on daily sign in/out sheets.  Information is entered in to an access database monthly and housed on our network in the Volunteer Services department. Timing:  Sign in/out sheets are available daily.  Access database is updated and available monthly.  Currently we are producing a report annualy.;Numeric;FY2022-23;2023;20000;;;;
ACADEMY OF SCIENCES;Educate and inspire the world;Percentage of staff who commute sustainably to the Academy;Percentage of staff and vistors who commute sustainably to the Academy;Collection Method: Human Resources conducts annual surveys.  Timing:  HR Prespectives and AD information are available annually.  Visitor information is currently not tracked.;Percent;FY2017-18;2018;0.3;0.3068;0.3;0.33;
ACADEMY OF SCIENCES;Educate and inspire the world;Percentage of staff who commute sustainably to the Academy;Percentage of staff and vistors who commute sustainably to the Academy;Collection Method: Human Resources conducts annual surveys.  Timing:  HR Prespectives and AD information are available annually.  Visitor information is currently not tracked.;Percent;FY2018-19;2019;0.3;0.34;0.3;0.3;
ACADEMY OF SCIENCES;Educate and inspire the world;Percentage of staff who commute sustainably to the Academy;Percentage of staff and vistors who commute sustainably to the Academy;Collection Method: Human Resources conducts annual surveys.  Timing:  HR Prespectives and AD information are available annually.  Visitor information is currently not tracked.;Percent;FY2019-20;2020;0.3;0.33;0.35;0.63;
ACADEMY OF SCIENCES;Educate and inspire the world;Percentage of staff who commute sustainably to the Academy;Percentage of staff and vistors who commute sustainably to the Academy;Collection Method: Human Resources conducts annual surveys.  Timing:  HR Prespectives and AD information are available annually.  Visitor information is currently not tracked.;Percent;FY2020-21;2021;0.3;;0.6;0.17;
ACADEMY OF SCIENCES;Educate and inspire the world;Percentage of staff who commute sustainably to the Academy;Percentage of staff and vistors who commute sustainably to the Academy;Collection Method: Human Resources conducts annual surveys.  Timing:  HR Prespectives and AD information are available annually.  Visitor information is currently not tracked.;Percent;FY2021-22;2022;0.3;;;;
ACADEMY OF SCIENCES;Educate and inspire the world;Percentage of staff who commute sustainably to the Academy;Percentage of staff and vistors who commute sustainably to the Academy;Collection Method: Human Resources conducts annual surveys.  Timing:  HR Prespectives and AD information are available annually.  Visitor information is currently not tracked.;Percent;FY2022-23;2023;0.3;;;;
ACADEMY OF SCIENCES;Educate and inspire the world;Recycling rate of Academy waste;Measure of the recycling rate for Academy waste.  This is estimated by the recycling company and can be accessed on a monthly basis.  Academy waste varies from week to week because of public attendance fluctuates based on purchases.;Collection Method: Recycling company measures the amount of garbage collected and sorts recycling and organics. Timing:  The recycling company provides information as needed.;Percent;FY2017-18;2018;0.81;0.81;0.81;0.81;
ACADEMY OF SCIENCES;Educate and inspire the world;Recycling rate of Academy waste;Measure of the recycling rate for Academy waste.  This is estimated by the recycling company and can be accessed on a monthly basis.  Academy waste varies from week to week because of public attendance fluctuates based on purchases.;Collection Method: Recycling company measures the amount of garbage collected and sorts recycling and organics. Timing:  The recycling company provides information as needed.;Percent;FY2018-19;2019;0.81;0.81;0.81;0.8;
ACADEMY OF SCIENCES;Educate and inspire the world;Recycling rate of Academy waste;Measure of the recycling rate for Academy waste.  This is estimated by the recycling company and can be accessed on a monthly basis.  Academy waste varies from week to week because of public attendance fluctuates based on purchases.;Collection Method: Recycling company measures the amount of garbage collected and sorts recycling and organics. Timing:  The recycling company provides information as needed.;Percent;FY2019-20;2020;0.81;0.81;0.81;0.78;
ACADEMY OF SCIENCES;Educate and inspire the world;Recycling rate of Academy waste;Measure of the recycling rate for Academy waste.  This is estimated by the recycling company and can be accessed on a monthly basis.  Academy waste varies from week to week because of public attendance fluctuates based on purchases.;Collection Method: Recycling company measures the amount of garbage collected and sorts recycling and organics. Timing:  The recycling company provides information as needed.;Percent;FY2020-21;2021;0.81;;0.71;0.75;
ACADEMY OF SCIENCES;Educate and inspire the world;Recycling rate of Academy waste;Measure of the recycling rate for Academy waste.  This is estimated by the recycling company and can be accessed on a monthly basis.  Academy waste varies from week to week because of public attendance fluctuates based on purchases.;Collection Method: Recycling company measures the amount of garbage collected and sorts recycling and organics. Timing:  The recycling company provides information as needed.;Percent;FY2021-22;2022;0.78;;;;
ACADEMY OF SCIENCES;Educate and inspire the world;Recycling rate of Academy waste;Measure of the recycling rate for Academy waste.  This is estimated by the recycling company and can be accessed on a monthly basis.  Academy waste varies from week to week because of public attendance fluctuates based on purchases.;Collection Method: Recycling company measures the amount of garbage collected and sorts recycling and organics. Timing:  The recycling company provides information as needed.;Percent;FY2022-23;2023;0.8;;;;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;City cost per visitor (SCI);;;Currency;FY2017-18;2018;3.82;5.74;5.7;4.09;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;City cost per visitor (SCI);;;Currency;FY2018-19;2019;4.04;5.5;4.92;4.26;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;City cost per visitor (SCI);;;Currency;FY2019-20;2020;4.92;4.71;4.71;7.49;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;City cost per visitor (SCI);;;Currency;FY2020-21;2021;5.07;;23.4;23.37;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;City cost per visitor (SCI);;;Currency;FY2021-22;2022;8.3;;;;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;City cost per visitor (SCI);;;Currency;FY2022-23;2023;5.37;;;;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;Number of visitors attending on San Francisco Neighborhood Free Days and Quarterly Free Days;Number of visitors attending on the first (free) Wednesday of every month.;Collection Method: Data is collected by scanning barcodes at point of entry. The scans update data in Galaxy. Timing:  Reports available every third Wednesday in Galaxy.;Numeric;FY2017-18;2018;45000;14512;45000;37900;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;Number of visitors attending on San Francisco Neighborhood Free Days and Quarterly Free Days;Number of visitors attending on the first (free) Wednesday of every month.;Collection Method: Data is collected by scanning barcodes at point of entry. The scans update data in Galaxy. Timing:  Reports available every third Wednesday in Galaxy.;Numeric;FY2018-19;2019;36500;24100;36800;33835;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;Number of visitors attending on San Francisco Neighborhood Free Days and Quarterly Free Days;Number of visitors attending on the first (free) Wednesday of every month.;Collection Method: Data is collected by scanning barcodes at point of entry. The scans update data in Galaxy. Timing:  Reports available every third Wednesday in Galaxy.;Numeric;FY2019-20;2020;41000;13000;26000;17414;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;Number of visitors attending on San Francisco Neighborhood Free Days and Quarterly Free Days;Number of visitors attending on the first (free) Wednesday of every month.;Collection Method: Data is collected by scanning barcodes at point of entry. The scans update data in Galaxy. Timing:  Reports available every third Wednesday in Galaxy.;Numeric;FY2020-21;2021;26000;;0;0;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;Number of visitors attending on San Francisco Neighborhood Free Days and Quarterly Free Days;Number of visitors attending on the first (free) Wednesday of every month.;Collection Method: Data is collected by scanning barcodes at point of entry. The scans update data in Galaxy. Timing:  Reports available every third Wednesday in Galaxy.;Numeric;FY2021-22;2022;10000;;;;
ACADEMY OF SCIENCES;Ensure unencumbered access to science learning experiences;Number of visitors attending on San Francisco Neighborhood Free Days and Quarterly Free Days;Number of visitors attending on the first (free) Wednesday of every month.;Collection Method: Data is collected by scanning barcodes at point of entry. The scans update data in Galaxy. Timing:  Reports available every third Wednesday in Galaxy.;Numeric;FY2022-23;2023;16000;;;;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Number of public floor visitor engagements with education staff;Number of public floor visitor engagements with education staff;;Numeric;FY2017-18;2018;2800000;1436502;2800000;2966453;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Number of public floor visitor engagements with education staff;Number of public floor visitor engagements with education staff;;Numeric;FY2018-19;2019;2900000;1541710;2900000;3153650;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Number of public floor visitor engagements with education staff;Number of public floor visitor engagements with education staff;;Numeric;FY2019-20;2020;3000000;1692106;3100000;2193518;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Number of public floor visitor engagements with education staff;Number of public floor visitor engagements with education staff;;Numeric;FY2020-21;2021;3100000;;110000;148345;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Number of public floor visitor engagements with education staff;Number of public floor visitor engagements with education staff;;Numeric;FY2021-22;2022;500000;;;;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Number of public floor visitor engagements with education staff;Number of public floor visitor engagements with education staff;;Numeric;FY2022-23;2023;1000000;;;;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Percentage of randomly surveyed visitors rating the quality of the Aquarium as good or better;Percentage of randomly selected visitors who rate the quality of the Aquarium as Good or Excellent in a survey.;Collection Method: Survey conducted by outside firms during the summer months and other off months in the winter.  FY actuals average the results of the two surveys. Timing:  This data is available semi-annually.;Percent;FY2017-18;2018;0.9;0.9;0.9;0.94;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Percentage of randomly surveyed visitors rating the quality of the Aquarium as good or better;Percentage of randomly selected visitors who rate the quality of the Aquarium as Good or Excellent in a survey.;Collection Method: Survey conducted by outside firms during the summer months and other off months in the winter.  FY actuals average the results of the two surveys. Timing:  This data is available semi-annually.;Percent;FY2018-19;2019;0.9;0.93;0.9;0.955;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Percentage of randomly surveyed visitors rating the quality of the Aquarium as good or better;Percentage of randomly selected visitors who rate the quality of the Aquarium as Good or Excellent in a survey.;Collection Method: Survey conducted by outside firms during the summer months and other off months in the winter.  FY actuals average the results of the two surveys. Timing:  This data is available semi-annually.;Percent;FY2019-20;2020;0.9;0.97;0.95;0.96;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Percentage of randomly surveyed visitors rating the quality of the Aquarium as good or better;Percentage of randomly selected visitors who rate the quality of the Aquarium as Good or Excellent in a survey.;Collection Method: Survey conducted by outside firms during the summer months and other off months in the winter.  FY actuals average the results of the two surveys. Timing:  This data is available semi-annually.;Percent;FY2020-21;2021;0.9;;0.96;0.96;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Percentage of randomly surveyed visitors rating the quality of the Aquarium as good or better;Percentage of randomly selected visitors who rate the quality of the Aquarium as Good or Excellent in a survey.;Collection Method: Survey conducted by outside firms during the summer months and other off months in the winter.  FY actuals average the results of the two surveys. Timing:  This data is available semi-annually.;Percent;FY2021-22;2022;0.9;;;;
ACADEMY OF SCIENCES;Maintain the Steinhart aquarium as a world class leading aquarium;Percentage of randomly surveyed visitors rating the quality of the Aquarium as good or better;Percentage of randomly selected visitors who rate the quality of the Aquarium as Good or Excellent in a survey.;Collection Method: Survey conducted by outside firms during the summer months and other off months in the winter.  FY actuals average the results of the two surveys. Timing:  This data is available semi-annually.;Percent;FY2022-23;2023;0.9;;;;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom performance appraisals were scheduled (SCI);New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.;Collection Method: Data is collected by supervisors on an annual appraisal form which is available on our intranet in HR, on our network or can be printed out and filled out manually.  Paper or electronic copies are kept by our Chief Engineer in the Aquarium department.  Performance appraisal for the Chief Engineer is retained by Aquarium director. Timing:  Annually;Numeric;FY2017-18;2018;12;12;12;12;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom performance appraisals were scheduled (SCI);New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.;Collection Method: Data is collected by supervisors on an annual appraisal form which is available on our intranet in HR, on our network or can be printed out and filled out manually.  Paper or electronic copies are kept by our Chief Engineer in the Aquarium department.  Performance appraisal for the Chief Engineer is retained by Aquarium director. Timing:  Annually;Numeric;FY2018-19;2019;12;12;12;12;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom performance appraisals were scheduled (SCI);New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.;Collection Method: Data is collected by supervisors on an annual appraisal form which is available on our intranet in HR, on our network or can be printed out and filled out manually.  Paper or electronic copies are kept by our Chief Engineer in the Aquarium department.  Performance appraisal for the Chief Engineer is retained by Aquarium director. Timing:  Annually;Numeric;FY2019-20;2020;12;12;10;11;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom performance appraisals were scheduled (SCI);New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.;Collection Method: Data is collected by supervisors on an annual appraisal form which is available on our intranet in HR, on our network or can be printed out and filled out manually.  Paper or electronic copies are kept by our Chief Engineer in the Aquarium department.  Performance appraisal for the Chief Engineer is retained by Aquarium director. Timing:  Annually;Numeric;FY2020-21;2021;12;;11;11;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom performance appraisals were scheduled (SCI);New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.;Collection Method: Data is collected by supervisors on an annual appraisal form which is available on our intranet in HR, on our network or can be printed out and filled out manually.  Paper or electronic copies are kept by our Chief Engineer in the Aquarium department.  Performance appraisal for the Chief Engineer is retained by Aquarium director. Timing:  Annually;Numeric;FY2021-22;2022;11;;;;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom performance appraisals were scheduled (SCI);New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.;Collection Method: Data is collected by supervisors on an annual appraisal form which is available on our intranet in HR, on our network or can be printed out and filled out manually.  Paper or electronic copies are kept by our Chief Engineer in the Aquarium department.  Performance appraisal for the Chief Engineer is retained by Aquarium director. Timing:  Annually;Numeric;FY2022-23;2023;11;;;;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom scheduled performance appraisals were completed (SCI);"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.";Collection Method: Aquarium Director and Chief Engineer fill out performance evaluation form either manually or on-line.  Forms are available on our intranet in both Word and Excel formats and can be printed and filled out or filled out on-line. Timing:  Annually;Numeric;FY2017-18;2018;12;12;12;12;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom scheduled performance appraisals were completed (SCI);"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.";Collection Method: Aquarium Director and Chief Engineer fill out performance evaluation form either manually or on-line.  Forms are available on our intranet in both Word and Excel formats and can be printed and filled out or filled out on-line. Timing:  Annually;Numeric;FY2018-19;2019;12;12;12;12;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom scheduled performance appraisals were completed (SCI);"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.";Collection Method: Aquarium Director and Chief Engineer fill out performance evaluation form either manually or on-line.  Forms are available on our intranet in both Word and Excel formats and can be printed and filled out or filled out on-line. Timing:  Annually;Numeric;FY2019-20;2020;12;12;10;11;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom scheduled performance appraisals were completed (SCI);"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.";Collection Method: Aquarium Director and Chief Engineer fill out performance evaluation form either manually or on-line.  Forms are available on our intranet in both Word and Excel formats and can be printed and filled out or filled out on-line. Timing:  Annually;Numeric;FY2020-21;2021;12;;11;0;Performance appraisals to be completed in FY21-22
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom scheduled performance appraisals were completed (SCI);"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.";Collection Method: Aquarium Director and Chief Engineer fill out performance evaluation form either manually or on-line.  Forms are available on our intranet in both Word and Excel formats and can be printed and filled out or filled out on-line. Timing:  Annually;Numeric;FY2021-22;2022;11;;;;
ACADEMY OF SCIENCES;Promote workforce inclusivity;# of employees for whom scheduled performance appraisals were completed (SCI);"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.";Collection Method: Aquarium Director and Chief Engineer fill out performance evaluation form either manually or on-line.  Forms are available on our intranet in both Word and Excel formats and can be printed and filled out or filled out on-line. Timing:  Annually;Numeric;FY2022-23;2023;11;;;;
ACADEMY OF SCIENCES;Promote workforce inclusivity;Percent of management positions held by women;Percent of management positions held by women;;Percent;FY2017-18;2018;0.5;0.51;0.5;0.54;
ACADEMY OF SCIENCES;Promote workforce inclusivity;Percent of management positions held by women;Percent of management positions held by women;;Percent;FY2018-19;2019;0.5;0.54;0.5;0.54;
ACADEMY OF SCIENCES;Promote workforce inclusivity;Percent of management positions held by women;Percent of management positions held by women;;Percent;FY2019-20;2020;0.5;0.57;0.57;0.5;
ACADEMY OF SCIENCES;Promote workforce inclusivity;Percent of management positions held by women;Percent of management positions held by women;;Percent;FY2020-21;2021;0.5;;0.5;0.61;
ACADEMY OF SCIENCES;Promote workforce inclusivity;Percent of management positions held by women;Percent of management positions held by women;;Percent;FY2021-22;2022;0.5;;;;
ACADEMY OF SCIENCES;Promote workforce inclusivity;Percent of management positions held by women;Percent of management positions held by women;;Percent;FY2022-23;2023;0.5;;;;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of Careers in Science Program interns;Number of Careers in Science Program interns (San Francisco highschool and college students);Collection Method: Data is collected through an electronic time management system, then imported into ADP payroll.  Information is housed on our network, paper records kept in Payroll office. Timing:  Data is collected bi-weekly and paper records are available bi-weekly, payroll (electronic) records are available monthly.;Numeric;FY2017-18;2018;49;41;49;51;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of Careers in Science Program interns;Number of Careers in Science Program interns (San Francisco highschool and college students);Collection Method: Data is collected through an electronic time management system, then imported into ADP payroll.  Information is housed on our network, paper records kept in Payroll office. Timing:  Data is collected bi-weekly and paper records are available bi-weekly, payroll (electronic) records are available monthly.;Numeric;FY2018-19;2019;49;38;50;54;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of Careers in Science Program interns;Number of Careers in Science Program interns (San Francisco highschool and college students);Collection Method: Data is collected through an electronic time management system, then imported into ADP payroll.  Information is housed on our network, paper records kept in Payroll office. Timing:  Data is collected bi-weekly and paper records are available bi-weekly, payroll (electronic) records are available monthly.;Numeric;FY2019-20;2020;50;31;40;31;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of Careers in Science Program interns;Number of Careers in Science Program interns (San Francisco highschool and college students);Collection Method: Data is collected through an electronic time management system, then imported into ADP payroll.  Information is housed on our network, paper records kept in Payroll office. Timing:  Data is collected bi-weekly and paper records are available bi-weekly, payroll (electronic) records are available monthly.;Numeric;FY2020-21;2021;40;;33;43;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of Careers in Science Program interns;Number of Careers in Science Program interns (San Francisco highschool and college students);Collection Method: Data is collected through an electronic time management system, then imported into ADP payroll.  Information is housed on our network, paper records kept in Payroll office. Timing:  Data is collected bi-weekly and paper records are available bi-weekly, payroll (electronic) records are available monthly.;Numeric;FY2021-22;2022;40;;;;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of Careers in Science Program interns;Number of Careers in Science Program interns (San Francisco highschool and college students);Collection Method: Data is collected through an electronic time management system, then imported into ADP payroll.  Information is housed on our network, paper records kept in Payroll office. Timing:  Data is collected bi-weekly and paper records are available bi-weekly, payroll (electronic) records are available monthly.;Numeric;FY2022-23;2023;50;;;;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of hours worked by Careers in Science interns;Number of hours worked by the interns in the Careers in Science Program;Collection Method: Collected through E-Time, ADP Payroll.  Records are located in Payroll office on printed registers as well as housed on an ADP and HR Prespectives server on our network. Timing:  Data is available on a bi-weekly basis.;Numeric;FY2017-18;2018;12000;6032;12000;19424;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of hours worked by Careers in Science interns;Number of hours worked by the interns in the Careers in Science Program;Collection Method: Collected through E-Time, ADP Payroll.  Records are located in Payroll office on printed registers as well as housed on an ADP and HR Prespectives server on our network. Timing:  Data is available on a bi-weekly basis.;Numeric;FY2018-19;2019;12000;3631;10000;7181;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of hours worked by Careers in Science interns;Number of hours worked by the interns in the Careers in Science Program;Collection Method: Collected through E-Time, ADP Payroll.  Records are located in Payroll office on printed registers as well as housed on an ADP and HR Prespectives server on our network. Timing:  Data is available on a bi-weekly basis.;Numeric;FY2019-20;2020;10000;3037.6;9438;5766;
ACADEMY OF SCIENCES;Provide STEM education opportunities to all members of the community;Number of hours worked by Careers in Science interns;Number of hours worked by the interns in the Careers in Science Program;Collection Method: Collected through E-Time, ADP Payroll.  Records are located in Payroll office on printed registers as well as housed on an ADP and HR Prespectives server on our network. Timing:  Data is available on a bi-weekly basis.;Numeric;FY2020-21;2021;12000;;4000;5400;
